image_id,delta,realization_id,dice,iou,hd95
ISIC_0000031,0.05,2,0.9376,0.8826,57.81
ISIC_0000031,0.1,0,0.8779,0.7824,107.42
ISIC_0000031,0.1,1,0.9049,0.8263,164.44
ISIC_0000031,0.1,2,0.7816,0.6415,174.41
ISIC_0000031,0.2,0,0.82,0.695,233.82
ISIC_0000031,0.2,1,0.6809,0.5162,216.57
ISIC_0000031,0.2,2,0.6036,0.4323,277.0
ISIC_0000032,0.0,0,0.949,0.9029,62.73
ISIC_0000032,0.05,0,0.9282,0.8661,66.79
ISIC_0000032,0.05,1,0.9515,0.9075,62.36
ISIC_0000032,0.05,2,0.9311,0.8711,68.66
ISIC_0000032,0.1,0,0.9099,0.8346,76.16
ISIC_0000032,0.1,1,0.8888,0.7998,107.34
ISIC_0000032,0.1,2,0.9364,0.8804,91.79
ISIC_0000032,0.2,0,0.8908,0.8031,85.91
ISIC_0000032,0.2,1,0.9361,0.8799,98.97
ISIC_0000032,0.2,2,0.8953,0.8105,114.13
ISIC_0000034,0.0,0,0.945,0.8957,31.58
ISIC_0000034,0.05,0,0.9312,0.8713,43.38
ISIC_0000034,0.05,1,0.9239,0.8585,46.1
ISIC_0000034,0.05,2,0.9394,0.8857,34.0
ISIC_0000034,0.1,0,0.9017,0.821,70.0
ISIC_0000034,0.1,1,0.895,0.81,51.16
ISIC_0000034,0.1,2,0.9038,0.8244,49.25
ISIC_0000034,0.2,0,0.8287,0.7075,152.56
ISIC_0000034,0.2,1,0.7575,0.6097,197.59
ISIC_0000034,0.2,2,0.7989,0.6651,153.06
ISIC_0000035,0.0,0,0.969,0.9399,35.24
ISIC_0000035,0.05,0,0.9409,0.8884,54.74
ISIC_0000035,0.05,1,0.9611,0.9251,43.1
ISIC_0000035,0.05,2,0.9614,0.9256,36.47
ISIC_0000035,0.1,0,0.923,0.857,72.69
ISIC_0000035,0.1,1,0.9142,0.8419,97.13
ISIC_0000035,0.1,2,0.8984,0.8156,127.14
ISIC_0000035,0.2,0,0.8908,0.8031,126.65
ISIC_0000035,0.2,1,0.8056,0.6745,191.37
ISIC_0000035,0.2,2,0.7892,0.6518,279.87
ISIC_0000036,0.0,0,0.9738,0.949,29.89
ISIC_0000036,0.05,0,0.9738,0.9489,28.93
ISIC_0000036,0.05,1,0.9644,0.9313,49.37
ISIC_0000036,0.05,2,0.9664,0.9351,37.0
ISIC_0000036,0.1,0,0.955,0.9138,50.47
ISIC_0000036,0.1,1,0.9266,0.8632,145.11
ISIC_0000036,0.1,2,0.9261,0.8624,80.4
ISIC_0000036,0.2,0,0.9576,0.9186,49.21
ISIC_0000036,0.2,1,0.4733,0.31,376.76
ISIC_0000036,0.2,2,0.7607,0.6139,264.71
ISIC_0000037,0.0,0,0.965,0.9323,40.31
ISIC_0000037,0.05,0,0.9219,0.8551,82.05
ISIC_0000037,0.05,1,0.9616,0.926,42.49
ISIC_0000037,0.05,2,0.9627,0.928,46.53
ISIC_0000037,0.1,0,0.9549,0.9137,44.91
ISIC_0000037,0.1,1,0.9629,0.9284,45.1
ISIC_0000037,0.1,2,0.9287,0.8668,73.54
ISIC_0000037,0.2,0,0.7898,0.6526,217.32
ISIC_0000037,0.2,1,0.7774,0.6359,306.61
ISIC_0000037,0.2,2,0.7923,0.6561,154.24
ISIC_0000038,0.0,0,0.9715,0.9446,35.36
ISIC_0000038,0.05,0,0.9659,0.9341,40.05
ISIC_0000038,0.05,1,0.96,0.9231,77.05
ISIC_0000038,0.05,2,0.9686,0.9391,35.03
ISIC_0000038,0.1,0,0.9667,0.9356,45.0
ISIC_0000038,0.1,1,0.9418,0.8899,79.31
ISIC_0000038,0.1,2,0.9753,0.9517,29.07
ISIC_0000038,0.2,0,0.8549,0.7466,170.66
ISIC_0000038,0.2,1,0.7614,0.6148,268.81
ISIC_0000038,0.2,2,0.9692,0.9402,46.38
ISIC_0000039,0.0,0,0.9392,0.8854,33.02
ISIC_0000039,0.05,0,0.9123,0.8387,41.48
ISIC_0000039,0.05,1,0.9641,0.9308,27.78
ISIC_0000039,0.05,2,0.9069,0.8297,43.28
ISIC_0000039,0.1,0,0.9146,0.8426,74.75
ISIC_0000039,0.1,1,0.9082,0.8318,49.0
ISIC_0000039,0.1,2,0.96,0.9231,31.0
ISIC_0000039,0.2,0,0.9074,0.8306,104.01
ISIC_0000039,0.2,1,0.9084,0.8322,73.01
ISIC_0000039,0.2,2,0.9227,0.8566,70.21
ISIC_0000040,0.0,0,0.9354,0.8787,47.45
ISIC_0000040,0.05,0,0.8882,0.7989,100.64
