target,model,contrast_candidate,feature,r_squared,adj_r_squared,raw_coef,std_coef,std_error_ols,std_error_hc3,t_stat_hc3,p_value_hc3,ci_95_hc3_lower,ci_95_hc3_upper,ci_95_boot_lower,ci_95_boot_upper,std_coef_no_influential,vif,bp_hetero_pvalue,jb_normality_pvalue,influential_cases_count,p_value_holm
morphological_difficulty_class_a,Model_3_Full_Confounders,delta_a,delta_a,0.2782,0.2594,0.0,0.0021,0.0007,0.0005,0.0273,0.9782158170877309,-0.001,0.001,-0.001,0.0009,-0.028,2.82,0.0,0.0,11,1.0
morphological_difficulty_class_a,Model_3_Full_Confounders,delta_a,fst_medium,0.2782,0.2594,-0.0102,-0.0707,0.0113,0.0125,-0.8228,0.41161767380596204,-0.0348,0.0143,-0.034,0.0143,-0.062,1.63,0.0,0.0,11,0.41161767380596204
morphological_difficulty_class_a,Model_3_Full_Confounders,delta_a,fst_dark,0.2782,0.2594,-0.0078,-0.0501,0.0124,0.0123,-0.6328,0.5276087748516725,-0.0321,0.0165,-0.0312,0.0162,-0.0296,1.7,0.0,0.0,11,0.5276087748516725
morphological_difficulty_class_a,Model_3_Full_Confounders,delta_a,lesion_size,0.2782,0.2594,-1.0943,-0.5184,0.1319,0.3877,-2.8226,0.005265177125728826,-1.859,-0.3296,-2.2767,-0.6956,-0.6685,1.04,0.0,0.0,11,0.005265177125728826
morphological_difficulty_class_a,Model_3_Full_Confounders,delta_a,artifacts,0.2782,0.2594,0.0042,0.0102,0.0419,0.0359,0.1179,0.9062538513583971,-0.0666,0.0751,-0.0638,0.0778,0.0119,2.71,0.0,0.0,11,0.9062538513583971
morphological_difficulty_class_a,Model_1_Univariate,delta_b,delta_b,0.0044,-0.0007,-0.0002,-0.0662,0.0002,0.0001,-1.8328,0.06834742780291747,-0.0004,0.0,-0.0004,0.0,-0.0782,1.0,0.1435,0.0014,3,0.06834742780291747
morphological_difficulty_class_a,Model_2_Controlled_FST,delta_b,delta_b,0.019,0.0038,-0.0002,-0.0642,0.0002,0.0001,-1.6278,0.105196448057848,-0.0005,0.0,-0.0005,0.0,-0.0587,1.06,0.2448,0.002,11,0.105196448057848
morphological_difficulty_class_a,Model_2_Controlled_FST,delta_b,fst_medium,0.019,0.0038,-0.0117,-0.0811,0.0125,0.0131,-0.8978,0.37039802278595957,-0.0376,0.0141,-0.0363,0.014,-0.1157,1.47,0.2448,0.002,11,0.37039802278595957
morphological_difficulty_class_a,Model_2_Controlled_FST,delta_b,fst_dark,0.019,0.0038,-0.0223,-0.1432,0.0131,0.0137,-1.6291,0.10490619583652205,-0.0492,0.0047,-0.0496,0.0036,-0.1077,1.4,0.2448,0.002,11,0.10490619583652205
morphological_difficulty_class_a,Model_3_Full_Confounders,delta_b,delta_b,0.2782,0.2594,-0.0,-0.0042,0.0003,0.0002,-0.0545,0.9566286885693449,-0.0005,0.0005,-0.0005,0.0005,0.0294,2.77,0.0,0.0,11,1.0
