ablation_variant,image_id,skin_tone_group,delta,realization_id,dice,iou
Full CG-Adapter (Ours),000377,FST_I_II_Light,0.2,2,0.8502994011976048,0.7395833333333334
Full CG-Adapter (Ours),000377,FST_I_II_Light,0.2,3,0.8844621513944223,0.7928571428571428
Full CG-Adapter (Ours),000381,FST_I_II_Light,0.0,0,0.9252336448598131,0.8608695652173913
Full CG-Adapter (Ours),000381,FST_I_II_Light,0.2,1,0.8286604361370716,0.7074468085106383
Full CG-Adapter (Ours),000381,FST_I_II_Light,0.2,2,0.9394387001477105,0.8857938718662952
Full CG-Adapter (Ours),000381,FST_I_II_Light,0.2,3,0.9459041731066461,0.8973607038123167
Full CG-Adapter (Ours),000386,FST_I_II_Light,0.0,0,0.8232189973614775,0.6995515695067265
Full CG-Adapter (Ours),000386,FST_I_II_Light,0.2,1,0.6931818181818182,0.5304347826086957
Full CG-Adapter (Ours),000386,FST_I_II_Light,0.2,2,0.8514851485148515,0.7413793103448276
Full CG-Adapter (Ours),000386,FST_I_II_Light,0.2,3,0.8423645320197044,0.7276595744680852
Full CG-Adapter (Ours),000387,FST_I_II_Light,0.0,0,0.8661181750186986,0.7638522427440633
Full CG-Adapter (Ours),000387,FST_I_II_Light,0.2,1,0.7494963062458025,0.5993555316863588
Full CG-Adapter (Ours),000387,FST_I_II_Light,0.2,2,0.8578982154659617,0.7511574074074074
Full CG-Adapter (Ours),000387,FST_I_II_Light,0.2,3,0.8451563691838292,0.7318361955085865
Full CG-Adapter (Ours),000388,FST_I_II_Light,0.0,0,0.9264248704663213,0.862934362934363
Full CG-Adapter (Ours),000388,FST_I_II_Light,0.2,1,0.8396946564885496,0.7236842105263158
Full CG-Adapter (Ours),000388,FST_I_II_Light,0.2,2,0.9326633165829146,0.8738229755178908
Full CG-Adapter (Ours),000388,FST_I_II_Light,0.2,3,0.9361256544502617,0.8799212598425197
Full CG-Adapter (Ours),000389,FST_I_II_Light,0.0,0,0.7857142857142857,0.6470588235294118
Full CG-Adapter (Ours),000389,FST_I_II_Light,0.2,1,0.8316831683168316,0.711864406779661
Full CG-Adapter (Ours),000389,FST_I_II_Light,0.2,2,0.8073394495412844,0.676923076923077
Full CG-Adapter (Ours),000389,FST_I_II_Light,0.2,3,0.734375,0.5802469135802469
Full CG-Adapter (Ours),000390,FST_I_II_Light,0.0,0,0.807843137254902,0.6776315789473685
Full CG-Adapter (Ours),000390,FST_I_II_Light,0.2,1,0.819047619047619,0.6935483870967742
Full CG-Adapter (Ours),000390,FST_I_II_Light,0.2,2,0.9264214046822743,0.8629283489096573
Full CG-Adapter (Ours),000390,FST_I_II_Light,0.2,3,0.8304761904761905,0.7100977198697068
Full CG-Adapter (Ours),000391,FST_I_II_Light,0.0,0,0.7865707434052758,0.6482213438735178
Full CG-Adapter (Ours),000391,FST_I_II_Light,0.2,1,0.7576470588235295,0.6098484848484849
Full CG-Adapter (Ours),000391,FST_I_II_Light,0.2,2,0.7851851851851852,0.6463414634146342
Full CG-Adapter (Ours),000391,FST_I_II_Light,0.2,3,0.7897196261682243,0.6525096525096525
Full CG-Adapter (Ours),000395,FST_I_II_Light,0.0,0,0.8784313725490196,0.7832167832167832
Full CG-Adapter (Ours),000395,FST_I_II_Light,0.2,1,0.8267716535433071,0.7046979865771812
Full CG-Adapter (Ours),000395,FST_I_II_Light,0.2,2,0.8897338403041825,0.8013698630136986
Full CG-Adapter (Ours),000395,FST_I_II_Light,0.2,3,0.896551724137931,0.8125
Full CG-Adapter (Ours),000403,FST_I_II_Light,0.0,0,0.9012567324955116,0.8202614379084967
Full CG-Adapter (Ours),000403,FST_I_II_Light,0.2,1,0.8278481012658228,0.7062634989200864
Full CG-Adapter (Ours),000403,FST_I_II_Light,0.2,2,0.9126321647189761,0.8393039918116684
Full CG-Adapter (Ours),000403,FST_I_II_Light,0.2,3,0.8971553610503282,0.8134920634920635
Full CG-Adapter (Ours),000405,FST_I_II_Light,0.0,0,0.9211195928753181,0.8537735849056604
Full CG-Adapter (Ours),000405,FST_I_II_Light,0.2,1,0.7459402828706129,0.5948203842940685
Full CG-Adapter (Ours),000405,FST_I_II_Light,0.2,2,0.9146110056925996,0.8426573426573427
Full CG-Adapter (Ours),000405,FST_I_II_Light,0.2,3,0.9094412331406551,0.833922261484099
Full CG-Adapter (Ours),000406,FST_I_II_Light,0.0,0,0.9126233984457047,0.8392891636082673
