model,image_id,skin_tone_group,delta,realization_id,dice,iou,hd95,nsd
"Standard Adapter (r=16, E06)",000214,FST_V_VI_Dark,0.0,0,0.8022598870056498,0.6698113207547169,3.7830532015051923,0.8172043010752689
"Standard Adapter (r=16, E06)",000214,FST_V_VI_Dark,0.05,1,0.797752808988764,0.6635514018691588,4.0,0.8085106382978723
"Standard Adapter (r=16, E06)",000214,FST_V_VI_Dark,0.05,2,0.8022598870056498,0.6698113207547169,3.7830532015051923,0.8172043010752689
"Standard Adapter (r=16, E06)",000214,FST_V_VI_Dark,0.05,3,0.8022598870056498,0.6698113207547169,3.7830532015051923,0.8172043010752689
"Standard Adapter (r=16, E06)",000214,FST_V_VI_Dark,0.1,1,0.8023255813953488,0.6699029126213593,3.763330765278393,0.8085106382978723
"Standard Adapter (r=16, E06)",000214,FST_V_VI_Dark,0.1,2,0.77088948787062,0.6271929824561403,4.036931687685298,0.6875
"Standard Adapter (r=16, E06)",000214,FST_V_VI_Dark,0.1,3,0.7700534759358288,0.6260869565217392,4.123105625617661,0.6770833333333334
"Standard Adapter (r=16, E06)",000214,FST_V_VI_Dark,0.2,1,0.7944444444444444,0.6589861751152074,4.036931687685298,0.8125
"Standard Adapter (r=16, E06)",000214,FST_V_VI_Dark,0.2,2,0.7977207977207977,0.6635071090047393,4.2278147244322355,0.8125
"Standard Adapter (r=16, E06)",000214,FST_V_VI_Dark,0.2,3,0.7922437673130194,0.6559633027522935,4.036931687685298,0.7916666666666666
"Standard Adapter (r=16, E06)",000215,FST_V_VI_Dark,0.0,0,0.6706586826347305,0.5045045045045045,3.3617507870514034,0.7413793103448276
"Standard Adapter (r=16, E06)",000215,FST_V_VI_Dark,0.05,1,0.6451612903225806,0.47619047619047616,3.605551275463989,0.6491228070175439
"Standard Adapter (r=16, E06)",000215,FST_V_VI_Dark,0.05,2,0.6163522012578616,0.44545454545454544,3.892241510708872,0.6666666666666666
"Standard Adapter (r=16, E06)",000215,FST_V_VI_Dark,0.05,3,0.6706586826347305,0.5045045045045045,3.3617507870514034,0.7413793103448276
"Standard Adapter (r=16, E06)",000215,FST_V_VI_Dark,0.1,1,0.6586826347305389,0.49107142857142855,3.605551275463989,0.711864406779661
"Standard Adapter (r=16, E06)",000215,FST_V_VI_Dark,0.1,2,0.7692307692307693,0.625,2.23606797749979,0.9354838709677419
"Standard Adapter (r=16, E06)",000215,FST_V_VI_Dark,0.1,3,0.7167630057803468,0.5585585585585585,2.8284271247461903,0.864406779661017
"Standard Adapter (r=16, E06)",000215,FST_V_VI_Dark,0.2,1,0.7093596059113301,0.549618320610687,2.5026295937606697,0.8484848484848485
"Standard Adapter (r=16, E06)",000215,FST_V_VI_Dark,0.2,2,0.6133333333333333,0.4423076923076923,3.605551275463989,0.6181818181818182
"Standard Adapter (r=16, E06)",000215,FST_V_VI_Dark,0.2,3,0.6272189349112426,0.45689655172413796,3.892241510708872,0.6779661016949152
"Standard Adapter (r=16, E06)",000216,FST_V_VI_Dark,0.0,0,0.9704518351662912,0.9425997425997426,3.0,0.8902743142144638
"Standard Adapter (r=16, E06)",000216,FST_V_VI_Dark,0.05,1,0.9707258387916055,0.9431168831168831,3.0,0.87468671679198
"Standard Adapter (r=16, E06)",000216,FST_V_VI_Dark,0.05,2,0.9698326966144118,0.9414322250639386,3.0,0.8985148514851485
"Standard Adapter (r=16, E06)",000216,FST_V_VI_Dark,0.05,3,0.9598377281947261,0.9227769110764431,3.0,0.8085642317380353
"Standard Adapter (r=16, E06)",000216,FST_V_VI_Dark,0.1,1,0.9667149059334298,0.9355742296918768,3.0,0.8916256157635468
"Standard Adapter (r=16, E06)",000216,FST_V_VI_Dark,0.1,2,0.9433337929132772,0.8927453027139874,4.0,0.6091370558375635
"Standard Adapter (r=16, E06)",000216,FST_V_VI_Dark,0.1,3,0.9548335974643423,0.913570887035633,4.133452377915602,0.7829268292682927
"Standard Adapter (r=16, E06)",000216,FST_V_VI_Dark,0.2,1,0.9319672131147541,0.8726016884113584,7.0604076400856535,0.5067567567567568
"Standard Adapter (r=16, E06)",000216,FST_V_VI_Dark,0.2,2,0.8106931924152938,0.6816518557239938,12.0,0.2413793103448276
"Standard Adapter (r=16, E06)",000216,FST_V_VI_Dark,0.2,3,0.9343986543313709,0.8768745067087609,5.0,0.5038363171355499
"Standard Adapter (r=16, E06)",000226,FST_V_VI_Dark,0.0,0,0.9333333333333333,0.875,2.0,1.0
"Standard Adapter (r=16, E06)",000226,FST_V_VI_Dark,0.05,1,0.9283276450511946,0.8662420382165605,2.0,1.0
"Standard Adapter (r=16, E06)",000226,FST_V_VI_Dark,0.05,2,0.9324324324324325,0.8734177215189873,2.0,1.0
"Standard Adapter (r=16, E06)",000226,FST_V_VI_Dark,0.05,3,0.9294320137693631,0.8681672025723473,1.4142135623730951,1.0
"Standard Adapter (r=16, E06)",000226,FST_V_VI_Dark,0.1,1,0.939799331103679,0.886435331230284,1.4142135623730951,1.0
"Standard Adapter (r=16, E06)",000226,FST_V_VI_Dark,0.1,2,0.9277310924369748,0.8652037617554859,2.0,1.0
"Standard Adapter (r=16, E06)",000226,FST_V_VI_Dark,0.1,3,0.9365853658536586,0.8807339449541285,2.0236067977499776,0.9658119658119658
"Standard Adapter (r=16, E06)",000226,FST_V_VI_Dark,0.2,1,0.9251700680272109,0.8607594936708861,2.0,1.0
"Standard Adapter (r=16, E06)",000226,FST_V_VI_Dark,0.2,2,0.8876811594202898,0.7980456026058632,2.0236067977499776,0.9636363636363636
"Standard Adapter (r=16, E06)",000226,FST_V_VI_Dark,0.2,3,0.9172413793103448,0.8471337579617835,2.0,1.0
"Standard Adapter (r=16, E06)",000231,FST_V_VI_Dark,0.0,0,0.7994825355756792,0.665948275862069,4.265590213907313,0.5620437956204379
